Country Name,Country Code,Life Expectancy 2017,Health Expenditure 2017,GDP per Capita 2017,Total Population 2017,Poverty Headcount at 1.9,Education Expenditure 2017,Primary School Enrollment Ratio 2017,Gini Coefficient 2017,Physicians per 1000 - 2017
Africa Eastern and Southern,AFE,63.24626353,5.939238077,0.409546849,626392880,,16.77320004,,,0.195748638
Afghanistan,AFG,64.13,11.77723598,0.064764195,36296111,,12.03320026,102.1757889,,
Africa Western and Central,AFW,57.3823627,3.992603194,-0.42916893,423769930,,16.21059418,,,0.24702842
Angola,AGO,60.379,2.79150295,-3.40998338,29816769,,6.763780117,,,0.2146
Albania,ALB,78.333,5.01059723,3.897710666,2873457,1.3,12.39080048,107.0466003,33.2,
Arab World,ARB,71.62267043,5.564192119,-0.90127202,411942825,,9.849329948,95.39557648,,1.032242759
United Arab Emirates,ARE,77.647,4.14456415,1.011416618,9487206,,,108.3970566,,2.4356
Argentina,ARG,76.372,10.45704365,1.757648183,44044811,0.9,13.26391983,109.7414627,41.1,3.9901
Armenia,ARM,74.797,10.36270523,7.18452239,2944789,0.9,10.40312958,94.08351898,33.6,4.4023
Antigua and Barbuda,ATG,76.752,5.17094231,2.166386809,95425,,7.391799927,103.6689606,,2.956
Australia,AUS,82.5,9.20544815,0.591766543,24601860,,13.60291958,100.3389816,,3.6778
Austria,AUT,81.64390244,10.38262367,1.69076313,8797566,0.3,10.93031025,103.1131516,29.7,5.1697
Azerbaijan,AZE,72.693,3.73651457,-0.82434848,9854033,,6.950399876,103.2940979,,
Burundi,BDI,60.898,7.51763725,-2.64677821,10827010,,19.76485062,123.8596191,,0.1001
Belgium,BEL,81.49268293,10.40608311,1.230825593,11375158,0.1,12.35070992,103.905571,27.4,3.0709
Benin,BEN,61.174,2.6444838,2.805281504,11175192,,19.87965012,126.6461105,,
Burkina Faso,BFA,60.768,6.91190195,3.177360753,19193236,,21.44400024,93.65312958,,0.0847
Bangladesh,BGD,72.052,2.27522182,6.136478312,159685421,,16.05497932,114.9886627,,0.5433
Bulgaria,BGR,74.81463415,7.45326805,4.261548231,7075947,1.4,12.73095036,89.33377075,40.4,
Bahrain,BHR,77.032,4.74813128,-0.47547338,1494077,,7.223849773,101.213089,,
"Bahamas, The",BHS,73.554,6.83129883,2.082158712,381749,,10.57621956,,,2.0068
Bosnia and Herzegovina,BIH,77.128,8.93159008,4.240509741,3351534,,,,,
Belarus,BLR,74.12926829,5.75974846,2.567482608,9498264,0,12.28168964,101.9657898,25.4,
Belize,BLZ,74.365,5.70125389,-0.18552608,375775,,21.65851021,113.2306137,,1.1229
